score,enterprise_number,oid,organization,signal_tags,contact_domain
"94","27284","1.3.6.1.4.1.27284","Daon Trusted Identity Services (formerly 'Security Biometric Clearing Network')","identity;network;security;trust","aaae.org"
"94","54825","1.3.6.1.4.1.54825","Frimley Health NHS Foundation Trust","cyber;health;security;trust","nhs.net"
"84","46532","1.3.6.1.4.1.46532","Hinchingbrooke Hospital NHS Health Care Trust","health;hospital;trust","nhs.net"
"84","56804","1.3.6.1.4.1.56804","Norfolk and Norwich University Hospitals NHS Foundation Trust","hospital;security;trust","nnuh.nhs.uk"
"76","48298","1.3.6.1.4.1.48298","Health Choice Management Company","health;network;security","iasishealthcare.com"
"76","66071","1.3.6.1.4.1.66071","China Telecom Cybersecurity Technology","cyber;security;telecom","damddos.com"
"66","177","1.3.6.1.4.1.177","Sonus Networks, Inc.","network;security","sonusnet.com"
"66","562","1.3.6.1.4.1.562","Northern Telecom, Ltd.","network;telecom","notelnetworks.com"
"66","740","1.3.6.1.4.1.740","Network Security Systems, Inc.","network;security","nic.cerf.net"
"66","1556","1.3.6.1.4.1.1556","Sonus Networks, Inc.","network;security","sonusnet.com"
"66","1645","1.3.6.1.4.1.1645","United States Cellular Corp.","identity;security","uscellular.com"
"66","2127","1.3.6.1.4.1.2127","Sonus Networks, Inc.","network;security","sonusnet.com"
"66","2879","1.3.6.1.4.1.2879","Sonus Networks, Inc.","network;security","sonusnet.com"
"66","3109","1.3.6.1.4.1.3109","TradeWeb LLC.","cyber;security","tradeweb.com"
"66","3401","1.3.6.1.4.1.3401","McAfee Inc. (formerly 'Network Associates, Inc.')","network;security","mcafee.com"
"66","3706","1.3.6.1.4.1.3706","ADiTel Telekommunikation Network GmbH","cyber;network","cybertron.at"
"66","3948","1.3.6.1.4.1.3948","Sonus Networks, Inc.","network;security","sonusnet.com"
"66","5173","1.3.6.1.4.1.5173","Sonus Networks, Inc.","network;security","sonusnet.com"
"66","6618","1.3.6.1.4.1.6618","Sonus Networks, Inc.","network;security","sonusnet.com"
"66","6909","1.3.6.1.4.1.6909","Network Security Technologies, Inc.","network;security","netsec.net"
"66","7607","1.3.6.1.4.1.7607","Appgate Cybersecurity, Inc.","cyber;security","appgate.com"
"66","9019","1.3.6.1.4.1.9019","Cap Gemini Telecom Media & Networks Deutschland GmbH","network;telecom","capgemini.de"
"66","9668","1.3.6.1.4.1.9668","Talent Network Security Technology Co., Ltd.","network;security","263.net"
"66","11222","1.3.6.1.4.1.11222","Rochester General Hospital","health;hospital","viahealth.org"
"66","11505","1.3.6.1.4.1.11505","Network-1 Security Solutions, Inc.","network;security","network-1.com"
"66","11657","1.3.6.1.4.1.11657","Taiwan Telecommunication Network Services Co., Ltd.","network;telecom","ttn.com.tw"
"66","12201","1.3.6.1.4.1.12201","University Health Network","health;network","uhn.ca"
"66","13747","1.3.6.1.4.1.13747","Virtual Health Networks, Inc.","health;network","hc-vita.com"
"66","14331","1.3.6.1.4.1.14331","Beijing Topsec Network Security Technology Co., Ltd.","network;security","ccert.com"
"66","17014","1.3.6.1.4.1.17014","Izumi Cyber Networks Inc.","cyber;network","izumi-si.co.jp"
"66","17134","1.3.6.1.4.1.17134","Good Health Network, Inc","health;network","ix.netcom.com"
"66","17700","1.3.6.1.4.1.17700","PowerWallz Network Security Inc.","network;security","powerwallz.com"
"66","18268","1.3.6.1.4.1.18268","SkyNet Network Security System Integration co.,Ltd.","network;security","sns.net.cn"
"66","18956","1.3.6.1.4.1.18956","Trusted Network Technologies, Inc.","network;trust","trustednetworktech.com"
"66","19501","1.3.6.1.4.1.19501","Trust Investment Bank, JSB","bank;trust","trust.ru"
"66","20419","1.3.6.1.4.1.20419","Security Certificates UK ltd","certificate;security","securitycertificates.co.uk"
"66","21126","1.3.6.1.4.1.21126","vFortress Network Security Pvt. Ltd.","network;security","vfortress.com"
"66","21368","1.3.6.1.4.1.21368","The Cloud Networks Ltd.","cloud;network","thecloud.net"
"66","22201","1.3.6.1.4.1.22201","Research Center of NetWork Techology Nanjing University Of Posts And Telecommunication Inc.","network;telecom","njupt.edu.cn"
"66","23458","1.3.6.1.4.1.23458","National Cybernet Security LTD","cyber;security","ncs-cyber.com.cn"
